track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date
001,Song One,Artist A,85,ALB001,Album One,2021-01-01
002,Song Two,Artist B,78,ALB002,Album Two,2021-02-15
003,Song Three,Artist C,90,ALB003,Album Three,2021-03-20
004,Song Four,Artist D,75,ALB004,Album Four,2021-04-10
005,Song Five,Artist E,82,ALB005,Album Five,2021-05-05
006,Song Six,Artist F,88,ALB006,Album Six,2021-06-21
007,Song Seven,Artist G,80,ALB007,Album Seven,2021-07-30
008,Song Eight,Artist H,83,ALB008,Album Eight,2021-08-15
009,Song Nine,Artist I,77,ALB009,Album Nine,2021-09-10
010,Song Ten,Artist J,89,ALB010,Album Ten,2021-10-25
011,Song Eleven,Artist K,84,ALB011,Album Eleven,2021-11-15
012,Song Twelve,Artist L,79,ALB012,Album Twelve,2021-12-05
013,Song Thirteen,Artist M,91,ALB013,Album Thirteen,2022-01-20
014,Song Fourteen,Artist N,76,ALB014,Album Fourteen,2022-02-14
015,Song Fifteen,Artist O,81,ALB015,Album Fifteen,2022-03-10
016,Song Sixteen,Artist P,87,ALB016,Album Sixteen,2022-04-05
017,Song Seventeen,Artist Q,85,ALB017,Album Seventeen,2022-05-25
018,Song Eighteen,Artist R,82,ALB018,Album Eighteen,2022-06-15
019,Song Nineteen,Artist S,78,ALB019,Album Nineteen,2022-07-20
020,Song Twenty,Artist T,90,ALB020,Album Twenty,2022-08-30
